Timestamp,Open,High,Low,Close,Volume
1495065600000,0.357,0.38,0.29629,0.37279,1606913.68448596
1495152000000,0.37177,0.37177,0.28,0.3201,10608448.69994583
1495238400000,0.32922,0.37,0.29012,0.344,6789690.01180677
1495324800000,0.34401,0.36398,0.32,0.32348,4263754.4214433
1495411200000,0.32349,0.33513,0.2215,0.30306,13638370.45177331
1495497600000,0.29589,0.349,0.28,0.32222,6275660.61756136
1495584000000,0.32218,0.33,0.2799,0.289,8576275.35969303
1495670400000,0.289,0.305,0.21375,0.23706,13743979.78574455
1495756800000,0.24185,0.33,0.23724,0.26454,10391209.7720715
1495843200000,0.26909,0.28996,0.132,0.20833,16670684.27365165
1495929600000,0.20831,0.24993,0.2,0.225,6300699.68534575
1496016000000,0.225,0.24392,0.2,0.23093,4193996.50846516
1496102400000,0.23091,0.23519,0.1856,0.1995,6836223.61870753
1496188800000,0.20187,0.25407,0.1856,0.24936,9568836.04495213
1496275200000,0.24613,0.338,0.24613,0.33499,17878669.60171351
1496361600000,0.33498,0.33799,0.27235,0.2935,12386030.92115499
1496448000000,0.2935,0.30923,0.27016,0.29218,3784735.8067008
1496534400000,0.29026,0.31023,0.27,0.29255,5641416.98465036
1496620800000,0.29257,0.29895,0.284,0.2904,3373411.99752162
1496707200000,0.29,0.2945,0.2725,0.28399,5678250.82667774
1496793600000,0.28204,0.29998,0.27332,0.27615,6415492.49014973
1496880000000,0.27611,0.298,0.27055,0.28799,2809750.49808721
1496966400000,0.28796,0.29687,0.2686,0.28172,4044420.45779446
1497052800000,0.2815,0.28513,0.248,0.25394,8691622.75877159
1497139200000,0.25345,0.27313,0.248,0.26569,2798405.64468334
1497225600000,0.26678,0.2791,0.225,0.23775,7817649.04797253
1497312000000,0.24021,0.2763,0.23734,0.26,2757438.96868379
1497398400000,0.26372,0.305,0.241,0.26102,12296493.89585505
1497484800000,0.26042,0.26467,0.201,0.24657,7945602.9695091
1497571200000,0.24428,0.25895,0.23,0.24999,4240616.51372541
1497657600000,0.24997,0.265,0.23437,0.2609,3534732.5746975
1497744000000,0.2609,0.27929,0.24678,0.26406,5918556.05988375
1497830400000,0.26552,0.28,0.26,0.27769,3429580.52049162
1497916800000,0.27999,0.32166,0.27498,0.30242,11766715.21932817
1498003200000,0.3033,0.30993,0.25123,0.27312,4825841.80444315
1498089600000,0.27165,0.28,0.26,0.272,4701276.37751751
1498176000000,0.27537,0.29359,0.272,0.29359,2305384.53666461
1498262400000,0.29257,0.30291,0.263,0.27756,3558463.69912086
1498348800000,0.27663,0.28,0.243,0.25515,4884339.55999304
1498435200000,0.25789,0.26468,0.21,0.24398,8424862.13481677
1498521600000,0.24616,0.26099,0.22,0.26099,4901154.26043283
1498608000000,0.26032,0.26999,0.24638,0.26899,4298943.34088941
1498694400000,0.26969,0.26999,0.25,0.25778,2253535.13060782
1498780800000,0.25777,0.25997,0.24363,0.24403,3011724.96357711
1498867200000,0.24679,0.24999,0.227,0.23688,2799824.0453388
1498953600000,0.235,0.2553,0.2275,0.25453,3805208.02028755
1499040000000,0.25226,0.25657,0.245,0.2524,3440713.56586334
1499126400000,0.2524,0.25799,0.2461,0.24702,3752072.64240468
1499212800000,0.24807,0.25741,0.24301,0.25299,3420874.54677464
